ID,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim
201503016416,2015030164,16,home,FALSE,REG,Joel Quenneville,3,42,28,78
201503016516,2015030165,16,away,TRUE,OT,Joel Quenneville,4,35,36,6
201503016519,2015030165,19,home,FALSE,OT,Ken Hitchcock,3,46,39,2
201503016619,2015030166,19,away,FALSE,REG,Ken Hitchcock,3,28,40,6
201503016616,2015030166,16,home,TRUE,REG,Joel Quenneville,6,36,38,2
201503016716,2015030167,16,away,FALSE,REG,Joel Quenneville,2,33,19,4
201503016719,2015030167,19,home,TRUE,REG,Ken Hitchcock,3,26,34,2
201403022115,2014030221,15,away,TRUE,REG,Barry Trotz,2,29,32,6
20140302213,2014030221,3,home,FALSE,REG,Alain Vigneault,1,32,34,6
201403022215,2014030222,15,away,FALSE,REG,Barry Trotz,2,32,38,8
20140302223,2014030222,3,home,TRUE,REG,Alain Vigneault,3,35,30,2
20140302233,2014030223,3,away,FALSE,REG,Alain Vigneault,0,30,31,4
201403022315,2014030223,15,home,TRUE,REG,Barry Trotz,1,22,39,4
