animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments,Date
QU_car110,f,10-Aug,NA,FALSE,NA,Quintette,-121.369821,55.14727287,"includ. CAR070, CAR075, and CAR111",NA,NA,removal,NA,10/12/2019
QU_car112,f,7-May,NA,TRUE,NA,Quintette,-121.3354215,55.117158,includ. CAR007; *2+ calves,NA,NA,removal,NA,10/12/2019
QU_car114,f,5-Mar,NA,TRUE,NA,Quintette,-121.4930991,55.19721978,includ. CAR071; *1+ calves,NA,NA,removal,NA,10/12/2019
QU_car111,f,7-May,NA,TRUE,NA,Quintette,-121.369821,55.14727287,"*antlers broken; includ. CAR070, CAR075, and CAR110",NA,NA,removal,NA,10/12/2019
QU_car113,f,7-May,NA,TRUE,NA,Quintette,-121.3975716,55.12831791,NA,NA,NA,removal,NA,10/11/2019
QU_car109,f,5-Mar,NA,TRUE,Predation - Wolf,Quintette,-120.9574911,54.84935951,"*bald; group includ. CAR036, CAR105, CAR106, CAR107, and CAR108",-120.8613899,54.92091838,dead,NA,10/11/2019
MO_car116,f,10-Aug,NA,FALSE,Unknown.  Suspected wolf predation,Moberly,-122.7330221,55.84356276,missing 2 incisors,-122.1238158,55.94576706,dead,NA,10/11/2019
BP_car115,m,7-May,NA,NA,NA,Burnt Pine,-122.2046044,55.46154303,*mature male; old tear in right ear,NA,NA,removal,NA,10/11/2019
QU_car126,f,6-Apr,NA,TRUE,NA,Quintette,-120.9981135,54.93588476,includ. CAR 122 (bull collared at Bearhole in Dec 2009),NA,NA,removal,NA,10/11/2019
QU_car125,f,15-Dec,NA,FALSE,NA,Quintette,-121.3813869,55.15345759,* in 2 groups of 22 + 13; caribou had been previously collared (eartag orange left/no ID number); excellent condition,NA,NA,removal,NA,10/11/2019
KE_car130,f,7-May,NA,FALSE,NA,Kennedy,-122.5968472,55.20245574,"previously uncollared group; collared CAR, 128, CAR 129, CAR 130",NA,NA,removal,NA,10/11/2019
KE_car128,f,3-Feb,NA,FALSE,NA,Kennedy,-122.5939569,55.20392887,"previously uncollared group; collared CAR, 128, CAR 129, CAR 130",NA,NA,removal,NA,10/10/2019
KE_car131,f,15-Dec,NA,FALSE,NA,Kennedy,-122.4901805,55.19733882,includ. CAR121 and CAR 127,NA,NA,removal,NA,10/10/2019
KE_car129,f,3-Feb,NA,FALSE,Predation - Wolf,Kennedy,-122.5920635,55.20624099,"previously uncollared group; collared CAR, 128, CAR 129, CAR 130; very low body fat",-122.3520599,55.25034948,dead,NA,10/10/2019
